iso_a3,treaty_id,ratified_date,note
AGO,c188,10/11/2016,
AGO,psma,7/20/2022,
ALB,psma,4/7/2017,
ARG,c188,9/15/2011,
ATG,cta,7/28/2021,
AUS,psma,7/20/2015,
BEL,cta,5/10/2018,33 vessels
BEN,psma,8/20/2021,
BGD,psma,12/20/2019,
BHS,psma,10/7/2016,
BIH,c188,2/4/2010,
BRB,psma,2/2/2016,
CAN,psma,6/20/2019,
CHL,psma,8/28/2012,
CIV,psma,10/23/2019, 
COG,cta,5/28/2015,23 vessels
COG,c188,5/14/2014,
COK,cta,10/21/2019,8 vessels
CPV,psma,6/23/2016,
CRI,psma,12/4/2015,
CUB,psma,3/25/2016,
DEU,cta,7/5/2016,39 vessels
DJI,psma,11/27/2017,
DMA,psma,5/6/2016,
DNK,cta,8/6/2015,101 vessels
DNK,c188,2/3/2020,
DNK,psma,11/28/2017,
ECU,psma,2/5/2019,
ESP,cta,2/7/2019,393 vessels
EST,c188,5/3/2016,
EU,psma,7/7/2011,
FIN,cta,2/19/2020,
FJI,psma,2/13/2019,
FRA,psma,7/11/2016,
FRA,cta,2/23/2018,103 vessels
FRA,c188,10/28/2015,
GAB,psma,11/15/2013,
GBR,c188,1/11/2019,
GBR,psma,1/11/2021,
GHA,psma,11/29/2016,
GIN,psma,6/3/2016,
GMB,psma,7/29/2016,
GRD,psma,6/17/2017,
GUY,psma,3/7/2016,
IDN,psma,6/23/2016,
ISL,psma,6/16/2015,
ISL,cta,7/15/2013,175 vessels
JPN,psma,5/17/2017,
KEN,psma,8/23/2017,
KEN,cta,2/4/2022,
KHM,psma,12/6/2019,
KNA,psma,12/9/2015,
KNA,cta,12/1/2017,0 vessels
KOR,psma,1/14/2016,
LBR,psma,5/21/2019,
LBY,psma,12/5/2018,
LKA,psma,1/20/2011,
LTU,c188,11/16/2016,
MAR,c188,5/16/2013,
MAR,psma,5/29/2022,
MDG,psma,3/27/2017,
MDV,psma,3/16/2017,
MMR,psma,11/22/2010,
MNE,psma,5/17/2017,
MOZ,psma,8/19/2014,
MRT,psma,1/23/2017,
MUS,psma,8/31/2015,
NAM,psma,7/18/2017,
NAM,c188,9/20/2018,
NGA,psma,TK
NIC,psma,8/14/2020,
NLD,cta,5/7/2014,153 vessels
NLD,c188,12/19/2019,
NOR,psma,7/20/2011,
NOR,cta,11/26/2013,242 vessels
NOR,c188,1/8/2016,
NZL,psma,2/21/2014,
OMN,psma,8/1/2013,
PAN,psma,11/21/2016,
PER,psma,9/27/2017,
PHL,psma,5/26/2018,
PLW,psma,11/30/2015,
POL,c188,12/17/2019,
PRT,c188,11/26/2019,
SDN,psma,5/12/2016,
SEN,psma,3/23/2017,
SEN,c188,9/21/2018,
SLE,psma,9/17/2018,
SOM,psma,11/9/2015,
STP,psma,11/22/2016,
STP,cta,10/21/2019,0 vessels
SYC,psma,6/19/2013,
TGO,psma,12/2/2016,
THA,psma,5/6/2016,
THA,c188,1/30/2019,
TON,psma,5/6/2016,
TTO,psma,10/24/2019,
TUR,psma,3/30/2018,
URY,psma,2/28/2013,
USA,psma,2/26/2016,
VCT,psma,6/23/2016,
VNM,psma,2/2/2019,
VUT,psma,5/6/2016,
ZAF,psma,2/16/2016,
ZAF,cta,8/19/2016,151 vessels
ZAF,c188,6/20/2013,
